weight,walking,speech,weather,sweat,hunger,skin type,hair type,lips,teeth,eyes,memory,thinking,action efficiency,sleep,skin color,nails,bodytype
average,fast,moderate,all,excessive,irregular appetite,oily,oily thick,dark dry,perfect,red,forgets quickly,quick,promptly and decisively,light,dark,dull,vatta
difficult to lose,moderate,fast,all,mild,irregular appetite,oily,straight soft,dark dry,perfect,dark,forgets quickly,focused,quickly but inconsistently,sound,redish,dull,vatta
lean,fast,moderate,warm,excessive with strong odor,always hunger,oily,oily thick,dark dry,large,dark,forgets quickly,peaceful,promptly and decisively,light,dark,pale,vatta
difficult to lose,slow,slow,cold,mild,irregular appetite,oily,dry brittle,dark dry,uneven,dark,forgets quickly,peacefull,quickly but inconsistently,light,dark,pale,vatta
difficult to lose,fast,fast,all,excessive,always hunger,dry,straight soft,dark dry,perfect,red,forgets quickly,peacefull,quickly but inconsistently,sound,dark,soft red,vatta
difficult to lose,moderate,slow,warm,mild,moderate hunger,dry,straight soft,dark dry,uneven,bright,forgets quickly,quick,promptly and decisively,light,pale,pale,vatta
lean,fast,fast,warm,excessive,irregular appetite,oily,dry brittle,red,uneven,dark,average,quick,slowly but steadily,light,dark,soft red,vatta
average,slow,fast,warm,mild,moderate hunger,cool,straight soft,dark dry,perfect,bright,forgets quickly,quick,quickly but inconsistently,sound,redish,soft red,vatta
lean,slow,slow,warm,mild,irregular appetite,dry,oily thick,dark dry,uneven,red,average,peaceful,promptly and decisively,sound,dark,soft red,vatta
average,slow,fast,cold,mild,always hunger,dry,straight soft,red,large,dark,forgets quickly,quick,slowly but steadily,sound,pale,soft red,vatta
lean,moderate,fast,warm,excessive,moderate hunger,cool,straight soft,dark up red bottom,large,dark,forgets quickly,peaceful,promptly and decisively,deep,redish,dull,vatta
difficult to lose,fast,moderate,all,excessive,irregular appetite,oily,oily thick,red,large,red,forgets quickly,quick,promptly and decisively,light,redish,dull,vatta
lean,slow,moderate,all,excessive with strong odor,irregular appetite,oily,oily thick,dark dry,large,dark,average,quick,promptly and decisively,light,redish,dull,vatta
lean,moderate,fast,all,excessive with strong odor,moderate hunger,dry,dry brittle,dark up red bottom,perfect,dark,forgets quickly,focused,slowly but steadily,deep,redish,dull,vatta
average,fast,fast,all,excessive,moderate hunger,cool,straight soft,dark up red bottom,large,dark,never forgets,quick,quickly but inconsistently,deep,dark,pale,vatta
lean,fast,slow,all,mild,irregular appetite,dry,oily thick,dark dry,perfect,dark,average,peaceful,quickly but inconsistently,deep,pale,soft red,vatta
difficult to lose,fast,fast,warm,mild,moderate hunger,cool,dry brittle,dark dry,large,dark,never forgets,focused,promptly and decisively,deep,redish,pale,vatta
lean,slow,fast,all,excessive with strong odor,irregular appetite,oily,dry brittle,dark up red bottom,large,bright,average,focused,quickly but inconsistently,light,redish,soft red,vatta
difficult to lose,moderate,fast,warm,excessive with strong odor,irregular appetite,cool,oily thick,dark dry,large,bright,forgets quickly,peacefull,quickly but inconsistently,light,dark,dull,vatta
difficult to lose,fast,moderate,warm,excessive,moderate hunger,oily,dry brittle,dark dry,perfect,red,forgets quickly,focused,slowly but steadily,light,dark,dull,vatta
difficult to lose,slow,slow,cold,mild,moderate hunger,cool,straight soft,dark dry,uneven,dark,forgets quickly,quick,quickly but inconsistently,light,pale,dull,vatta
lean,slow,fast,cold,excessive,irregular appetite,oily,straight soft,dark dry,uneven,bright,never forgets,peacefull,quickly but inconsistently,light,dark,soft red,vatta
average,slow,moderate,warm,excessive,moderate hunger,dry,dry brittle,dark dry,uneven,dark,average,quick,promptly and decisively,deep,dark,dull,vatta
difficult to lose,slow,slow,warm,excessive,irregular appetite,oily,dry brittle,dark dry,perfect,red,forgets quickly,peacefull,quickly but inconsistently,light,dark,pale,vatta
difficult to lose,moderate,fast,all,excessive with strong odor,irregular appetite,oily,oily thick,dark dry,large,red,never forgets,focused,quickly but inconsistently,deep,dark,dull,vatta
difficult to lose,slow,moderate,cold,excessive,irregular appetite,dry,straight soft,dark up red bottom,large,red,forgets quickly,peacefull,quickly but inconsistently,light,dark,pale,vatta
lean,fast,slow,cold,mild,irregular appetite,cool,dry brittle,red,large,bright,never forgets,quick,slowly but steadily,sound,dark,pale,vatta
lean,fast,moderate,warm,excessive with strong odor,irregular appetite,oily,straight soft,dark dry,perfect,bright,forgets quickly,focused,slowly but steadily,deep,dark,dull,vatta
difficult to lose,fast,moderate,warm,mild,irregular appetite,oily,oily thick,dark dry,perfect,red,average,quick,slowly but steadily,light,redish,dull,vatta
difficult to lose,slow,slow,warm,mild,always hunger,dry,straight soft,dark dry,large,red,forgets quickly,quick,slowly but steadily,sound,redish,pale,vatta
lean,fast,moderate,cold,excessive with strong odor,irregular appetite,dry,straight soft,red,uneven,red,average,quick,quickly but inconsistently,deep,dark,dull,vatta
lean,slow,fast,all,excessive with strong odor,irregular appetite,dry,oily thick,dark dry,perfect,bright,never forgets,quick,quickly but inconsistently,sound,redish,dull,vatta
lean,slow,fast,warm,mild,irregular appetite,oily,oily thick,red,large,dark,average,peacefull,slowly but steadily,light,dark,soft red,vatta
lean,slow,fast,all,excessive with strong odor,moderate hunger,dry,dry brittle,dark dry,perfect,red,forgets quickly,quick,promptly and decisively,sound,pale,soft red,vatta
difficult to lose,slow,moderate,warm,excessive,irregular appetite,cool,straight soft,dark dry,large,bright,forgets quickly,quick,slowly but steadily,sound,redish,dull,vatta
lean,moderate,fast,warm,mild,moderate hunger,dry,straight soft,red,uneven,bright,average,peacefull,quickly but inconsistently,deep,dark,soft red,vatta
average,moderate,slow,cold,mild,irregular appetite,cool,straight soft,red,large,red,forgets quickly,quick,quickly but inconsistently,deep,dark,dull,vatta
lean,moderate,slow,warm,excessive with strong odor,moderate hunger,dry,straight soft,dark dry,uneven,red,average,quick,slowly but steadily,sound,dark,dull,vatta
lean,fast,fast,cold,excessive,irregular appetite,cool,straight soft,dark dry,uneven,dark,forgets quickly,peacefull,promptly and decisively,light,redish,dull,vatta
lean,moderate,fast,all,mild,irregular appetite,cool,straight soft,dark up red bottom,uneven,dark,forgets quickly,peacefull,promptly and decisively,deep,dark,pale,vatta
lean,moderate,slow,cold,mild,always hunger,cool,dry brittle,dark up red bottom,large,bright,never forgets,quick,quickly but inconsistently,light,redish,dull,vatta
average,fast,moderate,cold,mild,always hunger,dry,straight soft,red,perfect,dark,forgets quickly,quick,slowly but steadily,sound,dark,dull,vatta
lean,fast,moderate,warm,excessive,irregular appetite,cool,dry brittle,dark up red bottom,perfect,dark,never forgets,focused,quickly but inconsistently,sound,pale,dull,vatta
difficult to lose,fast,fast,all,excessive with strong odor,irregular appetite,dry,oily thick,dark dry,large,dark,forgets quickly,focused,quickly but inconsistently,sound,redish,dull,vatta
lean,fast,moderate,cold,excessive,irregular appetite,dry,straight soft,dark dry,perfect,dark,forgets quickly,quick,quickly but inconsistently,light,pale,soft red,vatta
lean,fast,slow,cold,excessive with strong odor,irregular appetite,dry,dry brittle,dark dry,perfect,bright,average,peacefull,promptly and decisively,deep,dark,dull,vatta
lean,slow,moderate,cold,excessive,moderate hunger,dry,dry brittle,dark dry,perfect,bright,forgets quickly,quick,slowly but steadily,deep,dark,soft red,vatta
average,fast,slow,all,excessive with strong odor,moderate hunger,cool,dry brittle,dark dry,large,dark,forgets quickly,quick,promptly and decisively,deep,redish,pale,vatta-kapha
lean,slow,slow,warm,excessive with strong odor,always hunger,dry,dry brittle,red,uneven,red,never forgets,peacefull,promptly and decisively,light,dark,pale,vatta-kapha
difficult to lose,fast,fast,all,excessive,irregular appetite,cool,oily thick,red,large,red,never forgets,quick,quickly but inconsistently,deep,redish,dull,vatta-kapha
lean,slow,slow,warm,excessive with strong odor,irregular appetite,oily,dry brittle,red,perfect,bright,forgets quickly,peacefull,slowly but steadily,light,redish,dull,vatta-kapha
average,fast,slow,all,excessive,irregular appetite,dry,dry brittle,dark up red bottom,uneven,bright,forgets quickly,peaceful,slowly but steadily,sound,dark,pale,vatta-kapha
difficult to lose,slow,moderate,warm,excessive with strong odor,always hunger,cool,straight soft,dark up red bottom,large,bright,never forgets,peacefull,quickly but inconsistently,light,dark,dull,vatta-kapha
lean,slow,fast,warm,mild,irregular appetite,oily,oily thick,dark dry,uneven,bright,never forgets,focused,promptly and decisively,deep,redish,pale,vatta-kapha
difficult to lose,fast,moderate,cold,excessive,always hunger,cool,straight soft,dark dry,large,dark,never forgets,peacefull,quickly but inconsistently,deep,dark,pale,vatta-kapha
difficult to lose,slow,moderate,all,mild,irregular appetite,oily,dry brittle,red,large,bright,forgets quickly,focused,promptly and decisively,sound,pale,dull,vatta-kapha
lean,moderate,fast,all,excessive,moderate hunger,oily,dry brittle,red,large,bright,forgets quickly,quick,slowly but steadily,deep,redish,soft red,vatta-kapha
difficult to lose,moderate,slow,cold,excessive with strong odor,irregular appetite,dry,oily thick,dark up red bottom,perfect,bright,forgets quickly,quick,quickly but inconsistently,light,dark,pale,vatta-kapha
lean,moderate,fast,all,excessive,irregular appetite,dry,oily thick,red,uneven,bright,never forgets,peaceful,promptly and decisively,deep,dark,dull,vatta-kapha
average,slow,moderate,all,excessive with strong odor,irregular appetite,dry,straight soft,red,large,bright,never forgets,peacefull,quickly but inconsistently,light,dark,soft red,vatta-kapha
lean,fast,slow,cold,mild,moderate hunger,oily,dry brittle,red,large,red,never forgets,peaceful,quickly but inconsistently,deep,pale,soft red,vatta-kapha
difficult to lose,slow,fast,all,mild,irregular appetite,oily,dry brittle,dark up red bottom,uneven,dark,never forgets,focused,quickly but inconsistently,sound,pale,pale,vatta-kapha
lean,slow,moderate,all,mild,moderate hunger,oily,dry brittle,dark dry,uneven,red,never forgets,quick,quickly but inconsistently,sound,pale,pale,vatta-kapha
difficult to lose,slow,slow,cold,mild,irregular appetite,cool,oily thick,dark dry,uneven,red,average,quick,quickly but inconsistently,light,pale,soft red,vatta-kapha
average,slow,fast,all,excessive,always hunger,dry,oily thick,red,large,bright,forgets quickly,quick,slowly but steadily,light,dark,pale,vatta-kapha
difficult to lose,fast,slow,warm,mild,moderate hunger,cool,oily thick,dark up red bottom,large,bright,average,quick,quickly but inconsistently,deep,dark,soft red,vatta-kapha
difficult to lose,fast,fast,cold,excessive with strong odor,always hunger,cool,dry brittle,dark dry,uneven,dark,never forgets,quick,promptly and decisively,sound,pale,pale,vatta-kapha
difficult to lose,fast,fast,cold,mild,irregular appetite,cool,oily thick,dark up red bottom,uneven,red,never forgets,quick,quickly but inconsistently,sound,pale,pale,vatta-kapha
lean,moderate,slow,warm,mild,moderate hunger,dry,oily thick,red,perfect,bright,forgets quickly,quick,slowly but steadily,light,redish,soft red,vatta-kapha
difficult to lose,moderate,fast,warm,excessive with strong odor,irregular appetite,cool,dry brittle,dark up red bottom,uneven,dark,average,peacefull,slowly but steadily,deep,dark,soft red,vatta-kapha
average,fast,slow,warm,excessive with strong odor,irregular appetite,dry,dry brittle,red,large,bright,average,quick,slowly but steadily,sound,pale,pale,vatta-kapha
difficult to lose,fast,fast,all,mild,irregular appetite,cool,oily thick,dark up red bottom,perfect,dark,average,quick,slowly but steadily,light,pale,soft red,vatta-kapha
lean,moderate,slow,warm,excessive with strong odor,moderate hunger,dry,oily thick,red,large,bright,average,peacefull,quickly but inconsistently,light,dark,pale,vatta-kapha
difficult to lose,slow,moderate,warm,excessive with strong odor,moderate hunger,dry,straight soft,red,perfect,dark,average,quick,quickly but inconsistently,sound,dark,soft red,vatta-kapha
lean,slow,slow,warm,excessive with strong odor,irregular appetite,cool,straight soft,dark dry,large,bright,never forgets,peaceful,quickly but inconsistently,sound,redish,dull,vatta-kapha
difficult to lose,fast,fast,all,excessive with strong odor,moderate hunger,dry,oily thick,red,perfect,red,average,quick,quickly but inconsistently,light,dark,soft red,vatta-kapha
lean,slow,moderate,cold,excessive with strong odor,irregular appetite,dry,dry brittle,dark up red bottom,large,red,never forgets,focused,slowly but steadily,deep,dark,pale,vatta-kapha
average,moderate,fast,all,excessive with strong odor,irregular appetite,oily,oily thick,red,large,bright,forgets quickly,quick,slowly but steadily,light,pale,dull,vatta-kapha
average,fast,fast,all,excessive with strong odor,always hunger,cool,straight soft,dark dry,large,dark,never forgets,focused,quickly but inconsistently,deep,redish,pale,vatta-kapha
difficult to lose,fast,slow,all,excessive with strong odor,always hunger,cool,dry brittle,dark dry,uneven,bright,forgets quickly,focused,promptly and decisively,sound,dark,dull,vatta-kapha
average,slow,fast,warm,excessive with strong odor,always hunger,dry,oily thick,red,large,dark,never forgets,focused,slowly but steadily,sound,redish,dull,vatta-kapha
difficult to lose,slow,fast,warm,mild,moderate hunger,oily,straight soft,dark up red bottom,large,red,never forgets,quick,promptly and decisively,deep,dark,pale,vatta-kapha
difficult to lose,slow,slow,cold,excessive with strong odor,irregular appetite,cool,dry brittle,dark up red bottom,large,dark,forgets quickly,quick,slowly but steadily,sound,redish,soft red,vatta-kapha
lean,moderate,slow,warm,mild,irregular appetite,cool,oily thick,red,large,red,average,peacefull,slowly but steadily,sound,dark,soft red,vatta-kapha
average,slow,fast,cold,mild,always hunger,dry,dry brittle,dark up red bottom,perfect,red,never forgets,quick,quickly but inconsistently,deep,pale,pale,vatta-kapha
lean,slow,fast,cold,excessive with strong odor,irregular appetite,oily,oily thick,dark dry,perfect,bright,forgets quickly,focused,slowly but steadily,sound,dark,soft red,vatta-kapha
